type,indicator,classification,notes
domain,twitter-promotion.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,testtdomainname.xyz,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,arkelon22.info,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslabonus.live,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,youtubetesla.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,xrpglobal-event.info,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,xrpglobal-event.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,xrpfinance-info.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,xrpdouble-promotion.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,xrpdouble-event.info,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,xrpairdrop-live.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,xrp2x-double.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,xrp2x-double.info,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,xrp-promotion.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,xrp-info.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,xrp-give23.xyz,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,xrp-foundation.info,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,xrp-finance.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,x2years.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,x2twitter.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,x2crash.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,weripple.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,twit-usd.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tweetmusk.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tslaonline.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tslanow.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tsl2x.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslaus-event.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslatv.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslatake2023.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslaq3.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslaq3.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslapromotion.live,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslapromotion.info,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslapromo.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslapromo-2023.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslapromo-2023.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslaone.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslaofficial.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslamusk-promo.info,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslalife.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslainc2023.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslagives2023.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslafinance-promo.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslaevent23.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslaevent-promo.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tesladouble.live,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslacrypto2023.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslacrash.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslacoins2023.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslacashyt.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslacashyt.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslacash2023.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslabonus23.live,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tesla23bonus.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tesla-pump.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tesla-promotion.live,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tesla-now.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tesla-motors.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tesla-life.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tesla-give22.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tesla-eventx2.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tesla-elonx2.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tesla-double23.live,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tesla-bonus23.live,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tesla-airdrop.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tatehustlers.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tatedouble.live,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tatebonus.live,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tate6ix9ine.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,spacexlaunch.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,spacex23.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,spacex-mission.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,space22give.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,space2022x.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,space-strarlink.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,rippleglobal-event.info,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,rippledouble.info,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,ripple-money.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,ripple-live.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,qrmusk.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,promotion-x2.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,promo-xrp2022.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,promo-tesla.info,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,promo-musk.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,promo-musk.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,prizetesla.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,news-tesla.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,muskevents.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,muskevent.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,musk-pump.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,musk-promotion.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,musk-prize.info,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,musk-get-x2.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,musk-foundation.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,misson-live.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,ltcpromo.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,liketesla.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,invest-elon.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,grew4tesla.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,gifts-tesla.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,get-x2bonus.live,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,geminiearn.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,ftxbinance.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,freetate23.live,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,foundation-tesla.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,forbesbtc.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,finance-xrp.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,ethereum-rise.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,ethereum-promotion.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,eth2x-info.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,elonusa.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,elonus.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,elonshare.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,elonmuskevent.info,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,elonmuskcash.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,elondrop22.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,elonark22.info,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,elon-promotion.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,elon-investx2.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,elon-gets.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,elon-gets.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,elon-gets.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,e-musk.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,draketesla.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,dot-pump.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,cryptobottemplates.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,crypto-tesla.info,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,cryptgive23.xyz,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,crew5tesla.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,crash-tesla.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,cathie-live.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,cashtesla2023.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,buterin2x.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,buterin-promo.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,bonustesla.live,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,bonus-xrp.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,bonus-xrp.info,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,arkspace.live,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,arkgives2022.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,ark22double.live,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,airdrop-xrp.info,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,airdrop-ripple.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,2x-tsla.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,22tesla.io,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,22spacex.space,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,2023-tesla.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,2023-ripple.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,xrpfinance-live.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,xrpdouble-promotion.info,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,xrpdouble-promo.info,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,xrp2x-prize.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,xrp-bonus2022.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,xrp-airdrop.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,xrp-airdrop.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,promotion-prize.live,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,promo-prize.live,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,xrpfinance-promotion.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,xrpevent-promotion.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,xrp-doubled.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,xrp-ceo.live,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tesla-weelgives.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tesla-weekgives.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,get-prize.live,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,find-prize.live,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,event-xrp.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslagivesx2week.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslagives23.live,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tesla-wellgives.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tesla-givesweek.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,ripplesec.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,ripplelabs-live.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,ripple-sec.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,ripple-live.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,ripple-finance.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,promotion-xrp.info,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,eth-airdrop.xyz,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,bigxrp.xyz,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,ark-giveaway-x2.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,xrpevent-official.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,world-xrp.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
